X	Y	TYPE	SPEED	DIRTYPE	DIRECTION		
-73.283057	45.587531	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.283057 45.587531)',4326),'speedcamerapoi.com'),"
-73.288386	45.35215	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.288386 45.35215)',4326),'speedcamerapoi.com'),"
-73.315256	45.409263	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.315256 45.409263)',4326),'speedcamerapoi.com'),"
-73.326052	45.580622	1	80	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.326052 45.580622)',4326),'speedcamerapoi.com'),"
-73.326979	45.919615	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.326979 45.919615)',4326),'speedcamerapoi.com'),"
-73.371555	45.574101	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.371555 45.574101)',4326),'speedcamerapoi.com'),"
-73.376498	45.621306	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.376498 45.621306)',4326),'speedcamerapoi.com'),"
-73.38508	45.47939	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.38508 45.47939)',4326),'speedcamerapoi.com'),"
-73.412931	45.454711	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.412931 45.454711)',4326),'speedcamerapoi.com'),"
-73.414399	45.433235	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.414399 45.433235)',4326),'speedcamerapoi.com'),"
-73.420255	45.790906	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.420255 45.790906)',4326),'speedcamerapoi.com'),"
-73.424057	45.63213	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.424057 45.63213)',4326),'speedcamerapoi.com'),"
-73.43052	45.668184	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.43052 45.668184)',4326),'speedcamerapoi.com'),"
-73.453779	45.195341	1	80	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.453779 45.195341)',4326),'speedcamerapoi.com'),"
-73.456753	45.591739	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.456753 45.591739)',4326),'speedcamerapoi.com'),"
-73.474846	45.578348	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.474846 45.578348)',4326),'speedcamerapoi.com'),"
-73.479705	45.504342	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.479705 45.504342)',4326),'speedcamerapoi.com'),"
-73.481842	45.520082	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.481842 45.520082)',4326),'speedcamerapoi.com'),"
-73.495677	45.582889	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.495677 45.582889)',4326),'speedcamerapoi.com'),"
-73.513168	45.494305	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.513168 45.494305)',4326),'speedcamerapoi.com'),"
-73.518719	45.468513	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.518719 45.468513)',4326),'speedcamerapoi.com'),"
-73.519437	45.529187	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.519437 45.529187)',4326),'speedcamerapoi.com'),"
-73.533565	45.508003	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.533565 45.508003)',4326),'speedcamerapoi.com'),"
-73.539923	45.488132	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.539923 45.488132)',4326),'speedcamerapoi.com'),"
-73.545455	45.522489	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.545455 45.522489)',4326),'speedcamerapoi.com'),"
-73.55432	45.599885	1	80	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.55432 45.599885)',4326),'speedcamerapoi.com'),"
-73.556252	45.527554	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.556252 45.527554)',4326),'speedcamerapoi.com'),"
-73.562709	45.609115	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.562709 45.609115)',4326),'speedcamerapoi.com'),"
-73.563349	45.536894	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.563349 45.536894)',4326),'speedcamerapoi.com'),"
-73.57582	45.490206	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.57582 45.490206)',4326),'speedcamerapoi.com'),"
-73.576568	45.715249	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.576568 45.715249)',4326),'speedcamerapoi.com'),"
-73.591304	45.579531	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.591304 45.579531)',4326),'speedcamerapoi.com'),"
-73.597498	45.46788	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.597498 45.46788)',4326),'speedcamerapoi.com'),"
-73.604862	45.47067	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.604862 45.47067)',4326),'speedcamerapoi.com'),"
-73.60814	45.529127	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.60814 45.529127)',4326),'speedcamerapoi.com'),"
-73.610759	45.473705	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.610759 45.473705)',4326),'speedcamerapoi.com'),"
-73.629429	45.550679	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.629429 45.550679)',4326),'speedcamerapoi.com'),"
-73.637143	45.5083	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.637143 45.5083)',4326),'speedcamerapoi.com'),"
-73.648	45.4919	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.648 45.4919)',4326),'speedcamerapoi.com'),"
-73.653132	45.494436	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.653132 45.494436)',4326),'speedcamerapoi.com'),"
-73.655253	45.474389	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.655253 45.474389)',4326),'speedcamerapoi.com'),"
-73.656653	45.517579	1	70	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.656653 45.517579)',4326),'speedcamerapoi.com'),"
-73.658446	45.628964	1	80	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.658446 45.628964)',4326),'speedcamerapoi.com'),"
-73.658913	45.478791	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.658913 45.478791)',4326),'speedcamerapoi.com'),"
-73.667226	45.531677	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.667226 45.531677)',4326),'speedcamerapoi.com'),"
-73.668927	45.617908	1	80	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.668927 45.617908)',4326),'speedcamerapoi.com'),"
-73.672486	45.480852	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.672486 45.480852)',4326),'speedcamerapoi.com'),"
-73.683128	45.530755	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.683128 45.530755)',4326),'speedcamerapoi.com'),"
-73.698063	45.388939	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.698063 45.388939)',4326),'speedcamerapoi.com'),"
